@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute class {BoatPose, BowPose, Bridge, ChildsPose, CobraPose, DownwardFacingDog, MeditationPose, Plank, SeatedForwardBend, StandingMoving, StandingStill, TheExtendedSideAngle, TheTree, UpwardPlank}

@data
0.355469, 0.00804138, 0.931641, BoatPose
0.349609, -0.00152111, 0.935059, BoatPose
0.339111, -0.00593185, 0.943359, BoatPose
0.33252, -0.000763893, 0.946289, BoatPose
0.339844, -0.0152054, 0.938965, BoatPose
0.341797, 0.00706482, 0.939453, BoatPose
0.344482, -0.0158691, 0.936523, BoatPose
0.343262, -0.0311737, 0.943848, BoatPose
0.342285, -0.0506897, 0.938965, BoatPose
0.334473, -0.0550537, 0.942871, BoatPose
0.334961, -0.0610962, 0.938477, BoatPose
0.331299, -0.0601501, 0.936035, BoatPose
0.321533, -0.0767822, 0.956543, BoatPose
0.327393, -0.0831909, 0.938965, BoatPose
0.324463, -0.107422, 0.936523, BoatPose
0.317139, -0.115417, 0.956055, BoatPose
0.313721, -0.116211, 0.943848, BoatPose
0.310059, -0.0953979, 0.9375, BoatPose
0.785156, -0.188354, 0.588867, BowPose
0.783691, -0.187622, 0.592285, BowPose
0.786621, -0.181763, 0.588867, BowPose
0.790527, -0.180664, 0.586914, BowPose
0.786621, -0.179077, 0.592285, BowPose
0.78418, -0.178589, 0.593262, BowPose
0.783691, -0.182007, 0.592773, BowPose
0.783691, -0.17981, 0.594238, BowPose
0.787109, -0.176147, 0.592773, BowPose
0.785156, -0.174438, 0.591797, BowPose
0.78418, -0.176758, 0.592285, BowPose
0.782227, -0.178833, 0.596191, BowPose
0.781738, -0.181396, 0.598633, BowPose
0.781738, -0.181641, 0.598145, BowPose
0.782227, -0.18042, 0.595703, BowPose
0.784668, -0.17688, 0.594727, BowPose
0.782227, -0.18042, 0.59668, BowPose
0.782715, -0.179932, 0.595215, BowPose
0.781738, -0.178589, 0.597168, BowPose
0.781738, -0.180542, 0.599121, BowPose
0.781738, -0.176514, 0.596191, BowPose
0.783691, -0.17749, 0.59375, BowPose
0.782227, -0.182251, 0.594727, BowPose
0.78125, -0.18811, 0.597656, BowPose
0.78125, -0.188477, 0.597168, BowPose
0.78125, -0.188232, 0.596191, BowPose
0.782227, -0.181396, 0.594238, BowPose
-0.969238, -0.090332, 0.235229, Bridge
-0.970215, -0.0824585, 0.233887, Bridge
-0.970703, -0.0807495, 0.233398, Bridge
-0.969238, -0.0977173, 0.241333, Bridge
-0.96875, -0.088562, 0.241821, Bridge
-0.970703, -0.0965576, 0.241211, Bridge
-0.962891, -0.12323, 0.25, Bridge
-0.969238, -0.0922852, 0.241699, Bridge
-0.967285, -0.114441, 0.246338, Bridge
-0.96875, -0.10199, 0.24353, Bridge
-0.967773, -0.0973511, 0.241821, Bridge
-0.969238, -0.100342, 0.241577, Bridge
-0.969238, -0.0971069, 0.240234, Bridge
-0.969727, -0.0962524, 0.241943, Bridge
-0.967285, -0.100891, 0.242676, Bridge
-0.96875, -0.0944214, 0.243042, Bridge
-0.969238, -0.0968018, 0.24353, Bridge
-0.96875, -0.0938721, 0.24585, Bridge
-0.969238, -0.093811, 0.245728, Bridge
-0.967773, -0.0968628, 0.249634, Bridge
-0.96875, -0.100159, 0.24939, Bridge
-0.96875, -0.0934448, 0.248291, Bridge
-0.966797, -0.113159, 0.254883, Bridge
-0.967285, -0.0988159, 0.250977, Bridge
-0.967773, -0.102356, 0.250244, Bridge
-0.967773, -0.0938721, 0.247559, Bridge
-0.969238, -0.09552, 0.248779, Bridge
-0.966309, -0.117249, 0.255859, Bridge
-0.967285, -0.102051, 0.251953, Bridge
-0.964844, -0.11792, 0.256348, Bridge
-0.00150108, 0.51123, -0.858398, ChildsPose
-0.000549316, 0.505371, -0.863281, ChildsPose
-0.00124168, 0.508301, -0.862305, ChildsPose
-0.0026989, 0.509277, -0.859863, ChildsPose
-0.00336266, 0.504883, -0.86377, ChildsPose
-0.00336838, 0.501953, -0.864746, ChildsPose
-0.00312614, 0.50293, -0.864746, ChildsPose
-0.00326729, 0.509766, -0.859375, ChildsPose
-0.00340843, 0.504883, -0.86377, ChildsPose
-0.00315475, 0.503906, -0.86377, ChildsPose
-0.0029335, 0.501465, -0.864746, ChildsPose
-0.00294685, 0.5, -0.865723, ChildsPose
-0.00314903, 0.501465, -0.864746, ChildsPose
-0.00319099, 0.503906, -0.86377, ChildsPose
-0.00321007, 0.503906, -0.86377, ChildsPose
-0.00312614, 0.505371, -0.861328, ChildsPose
-0.00317383, 0.511719, -0.85791, ChildsPose
-0.00271606, 0.51123, -0.858398, ChildsPose
-0.00261879, 0.511719, -0.860352, ChildsPose
-0.00314903, 0.515137, -0.853516, ChildsPose
-0.00279427, 0.514648, -0.854492, ChildsPose
-0.00290871, 0.51123, -0.855469, ChildsPose
-0.00216866, 0.510742, -0.859375, ChildsPose
-0.00256348, 0.514648, -0.85498, ChildsPose
-0.00267982, 0.51416, -0.855957, ChildsPose
-0.00264359, 0.512695, -0.85791, ChildsPose
-0.00231361, 0.511719, -0.855957, ChildsPose
-0.00240707, 0.51123, -0.858398, ChildsPose
-0.00242424, 0.513672, -0.855957, ChildsPose
-0.00266457, 0.51123, -0.857422, ChildsPose
-0.0699463, 0.0652466, -1.00391, CobraPose
-0.0679321, 0.0644531, -1.00293, CobraPose
-0.0692139, 0.0603333, -1.00488, CobraPose
-0.0671997, 0.054718, -1.00488, CobraPose
-0.0679932, 0.0565796, -1.00195, CobraPose
-0.0717773, 0.0788574, -1.00293, CobraPose
-0.0688477, 0.0823364, -0.999023, CobraPose
-0.0786133, 0.0706787, -0.999023, CobraPose
-0.072937, 0.0612488, -1.00293, CobraPose
-0.0683594, 0.0433655, -1.00293, CobraPose
-0.0708008, 0.0557861, -1.00293, CobraPose
-0.0637817, 0.0596008, -1, CobraPose
-0.0614014, 0.0755615, -1.00488, CobraPose
-0.0622253, 0.0689697, -1.00293, CobraPose
-0.0620422, 0.0447693, -0.998047, CobraPose
-0.0591431, 0.0335388, -1.00977, CobraPose
